htid,year,bib_fmt,stratum,title,description
mdp.39015034712185,1975,BK,book,Argumentation and debate: a classified bibliography / by Arthur N. Kruger.,
uc1.b4518867,1965,BK,book,"Arrest; the decision to take a suspect into custody, by Wayne R. LaFave. Frank J. Remington, editor.",
umn.31951d00527124r,1934,BK,book,Art for the schools of the Southwest / Mary-Russell F. Colton.,
uiug.30112113418088,1941,BK,book,"Artillery ammunition manufacture, by Arthur B. Guise and J.S. Slicer, Jr. ...",
mdp.39015051364712,1940,BK,book,As a flame springs; the romance of Robert and Elizabeth Barrett Browning / by James Patton McCormick.,
mdp.39015072104816,1966,BK,book,Atonement and psychotherapy / by Don S. Browning.,
coo.31924010482010,1979,BK,book,"Aurora Leigh : a poem : from the last London edition, corrected by the author / Elizabeth Barrett Browning ; with a new introd. by Gardner B. Taplin.",
umn.31951000486017q,1958,BK,book,Automatic and repeating shotguns.,
uc1.c086241893,1937,BK,book,"Automatic pistol marksmanship, by William Reichenbach; illustrations by Richard Kroth and Edwin Bender.",
umn.319510009309824,1936,BK,book,Automotive money-saving facts / by J. F. Winchester.,
uiug.30112106688481,1967,BK,book,"Ballistic limit of aluminum plates determined by an exploding foil gun technique / Emilio Alfaro-Bou, Robert G. Thomson.",
uc1.b4498348,1946,BK,book,"Ballistics of the future : with special reference to the dynamical and physical theory of the rocket weapons / J.M.J. Kooy, J.W.H. Uytenbogaart.",
mdp.39015054103166,1967,BK,book,Balzac and his world / Translated from the French by Derek Coltman.,
inu.30000087983098,1957,BK,book,Bankruptcy / [by] Martin R. Browning [and] Herbert A. Eggie.,
uc1.b4307687,1975,BK,book,"Bankruptcy practice and procedure / Lewis Kruger, program chairman ; Henry W. Enberg II, staff editor",
uc1.b4307550,1978,BK,book,"Bankruptcy reform act of 1978 / Lewis Kruger, Patrick A. Murphy, Arnold M. Quittner, cochairmen",
uc1.b4307696,1977,BK,book,"Bankruptcy, practice and procedure / Lewis Kruger, chairman",
inu.30000087980151,1978,BK,book,"Bankruptcy, practice and procedure, 1978 /Lewis Kruger, chairman.",
inu.39000007796423,1968,BK,book,"Barton's Federal tax laws correlated; the Federal income, estate, and gift tax laws, from the Revenue act of 1913 to the Internal revenue code of 1954, as amended, by Walter E. Barton and Carroll W. Browning.",
inu.39000007796431,1968,BK,book,"Barton's Federal tax laws correlated; the Federal income, estate, and gift tax laws, from the Revenue act of 1913 to the Internal revenue code of 1954, as amended, by Walter E. Barton and Carroll W. Browning.",
inu.39000007796449,1968,BK,book,"Barton's Federal tax laws correlated; the Federal income, estate, and gift tax laws, from the Revenue act of 1913 to the Internal revenue code of 1954, as amended, by Walter E. Barton and Carroll W. Browning.",
inu.39000007796456,1968,BK,book,"Barton's Federal tax laws correlated; the Federal income, estate, and gift tax laws, from the Revenue act of 1913 to the Internal revenue code of 1954, as amended, by Walter E. Barton and Carroll W. Browning.",
uva.x000563966,1979,BK,book,"Basic education for children with learning disabilities / Wineva Grzynkowicz, with contributions by Diane Spurgeon Wirtz and Frances Marling.",
cub.p105212410002,1931,BK,book,Baylor University Browning interests : Second series / edited by A. Joseph Armstrong.,
mdp.39015037390997,1931,BK,book,Baylor university Browning interests. 2d ser. / edited by A. Joseph Armstrong.,
coo.31924002899221,1968,BK,book,Bayou backwaters [by] Allan W. Eckert. With an introd. by Marlin Perkins. Illustrated by Joseph Cellini.,
mdp.39015000625627,1978,BK,book,Before the revolution : a view of Russia under the last Tsar / [compiled by] Kyril Fitzlyon and Tatiana Browning.,
mdp.39015056438255,1979,BK,book,"Beginnings, a university art museum collects : inaugural exhibition/the University of Kentucky Art Museum / introduction by Priscilla Colt ; introductory notes on the collections by Bruce Weber.",
mdp.39015016217799,1971,BK,book,Behavior modification in child treatment; an experimental and clinical approach / [by] Robert M. Browning and Donald O. Stover.,
mdp.39015016217781,1971,BK,book,Behavior modification in child treatment; an experimental and clinical approach / [by] Robert M. Browning and Donald O. Stover.,
